Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min
70,13.0,0.0,5000.0,5.0,1000.0,70000.0,0.09999999999999999,-293.5018008506772,-293.5018008506772,0.0,145.40219473838806,,,,,,,,,,,,,,,,-26.3396683254,11.4865151293,9.51915591888,-46.3361564556,,,,,,,,,,,,,,,,,,,,,,,,
71,14.0,0.0,1000.0,1.0,1000.0,71000.0,0.09999999999999999,-268.2804420381152,-268.2804420381152,0.0,149.1513237953186,40.47272316108223,40.47272316108223,0.0,,,,,,,,,,,,,-22.5139669565,11.0007207359,1.79007883476,-49.6072716021,,,,,,,,,,,,,,,,,,,,,,,,
72,14.0,0.0,2000.0,2.0,1000.0,72000.0,0.09999999999999999,,,0.0,151.19641590118408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,14.0,0.0,3000.0,3.0,1000.0,73000.0,0.09999999999999999,-346.75878544831045,-346.75878544831045,0.0,152.28480577468872,31.090051756315763,31.090051756315763,0.0,,,,,,,,,,,,,-29.683057995,15.4625954215,0.153032633442,-80.6711436355,,,,,,,,,,,,,,,,,,,,,,,,
74,14.0,0.0,4000.0,4.0,1000.0,74000.0,0.09999999999999999,,,0.0,154.2984733581543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,14.0,0.0,5000.0,5.0,1000.0,75000.0,0.09999999999999999,-216.0421142627996,-216.0421142627996,0.0,155.36762738227844,25.833874085557902,25.833874085557902,0.0,,,,,,,,,,,,,-18.8892447449,13.8509335816,6.96205418117,-44.5265503881,,,,,,,,,,,,,,,,,,,,,,,,
76,15.0,0.0,1000.0,1.0,1000.0,76000.0,0.09999999999999999,,,0.0,159.1858446598053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,15.0,0.0,2000.0,2.0,1000.0,77000.0,0.09999999999999999,-140.7262127292158,-140.7262127292158,0.0,160.2737979888916,32.42142413628837,32.42142413628837,0.0,,,,,,,,,,,,,-12.7368872795,11.3717764583,14.8336620894,-33.9798830463,,,,,,,,,,,,,,,,,,,,,,,,
78,15.0,0.0,3000.0,3.0,1000.0,78000.0,0.09999999999999999,,,0.0,162.59385538101196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,15.0,0.0,4000.0,4.0,1000.0,79000.0,0.09999999999999999,-198.55047542887075,-198.55047542887075,0.0,163.8484444618225,29.8966269074639,29.8966269074639,0.0,,,,,,,,,,,,,-19.5591536655,10.2093016708,9.24816169626,-43.4932021926,,,,,,,,,,,,,,,,,,,,,,,,
